@relation appledata

@attribute Date {1/1/2016,1/4/2016,1/5/2016,1/6/2016,1/7/2016,1/8/2016,1/11/2016,1/12/2016,1/13/2016,1/14/2016,1/15/2016,1/18/2016,1/19/2016,1/20/2016,1/21/2016,1/22/2016,1/25/2016,1/26/2016,1/27/2016,1/28/2016,1/29/2016,2/1/2016,2/2/2016,2/3/2016,2/4/2016,2/5/2016,2/8/2016,2/9/2016,2/10/2016,2/11/2016,2/12/2016,2/15/2016,2/16/2016,2/17/2016,2/18/2016,2/19/2016,2/22/2016,2/23/2016,2/24/2016,2/25/2016,2/26/2016,2/29/2016,3/1/2016,3/2/2016,3/3/2016,3/4/2016,3/7/2016,3/8/2016,3/9/2016,3/10/2016,3/11/2016,3/14/2016,3/15/2016,3/16/2016,3/17/2016,3/18/2016,3/21/2016,3/22/2016,3/23/2016,3/24/2016,3/25/2016,3/28/2016,3/29/2016,3/30/2016,3/31/2016,4/1/2016,4/4/2016,4/5/2016,4/6/2016,4/7/2016,4/8/2016,4/11/2016,4/12/2016,4/13/2016,4/14/2016,4/15/2016,4/18/2016,4/19/2016,4/20/2016,4/21/2016,4/22/2016,4/25/2016,4/26/2016,4/27/2016,4/28/2016,4/29/2016,5/2/2016,5/3/2016,5/4/2016,5/5/2016,5/6/2016,5/9/2016,5/10/2016,5/11/2016,5/12/2016,5/13/2016,5/16/2016,5/17/2016,5/18/2016,5/19/2016,5/20/2016,5/23/2016,5/24/2016,5/25/2016,5/26/2016,5/27/2016,5/30/2016,5/31/2016,6/1/2016,6/2/2016,6/3/2016,6/6/2016,6/7/2016,6/8/2016,6/9/2016,6/10/2016,6/13/2016,6/14/2016,6/15/2016,6/16/2016,6/17/2016,6/20/2016,6/21/2016,6/22/2016,6/23/2016,6/24/2016,6/27/2016,6/28/2016,6/29/2016,6/30/2016,7/1/2016,7/4/2016,7/5/2016,7/6/2016,7/7/2016,7/8/2016,7/11/2016,7/12/2016,7/13/2016,7/14/2016,7/15/2016,7/18/2016,7/19/2016,7/20/2016,7/21/2016,7/22/2016,7/25/2016,7/26/2016,7/27/2016,7/28/2016,7/29/2016,8/1/2016,8/2/2016,8/3/2016,8/4/2016,8/5/2016,8/8/2016,8/9/2016,8/10/2016,8/11/2016,8/12/2016,8/15/2016,8/16/2016,8/17/2016,8/18/2016,8/19/2016,8/22/2016,8/23/2016,8/24/2016,8/25/2016,8/26/2016,8/29/2016,8/30/2016,8/31/2016,9/1/2016,9/2/2016,9/5/2016,9/6/2016,9/7/2016,9/8/2016,9/9/2016,9/12/2016,9/13/2016,9/14/2016,9/15/2016,9/16/2016,9/19/2016,9/20/2016,9/21/2016,9/22/2016,9/23/2016,9/26/2016,9/27/2016,9/28/2016,9/29/2016,9/30/2016,10/3/2016,10/4/2016,10/5/2016,10/6/2016,10/7/2016,10/10/2016,10/11/2016,10/12/2016,10/13/2016,10/14/2016,10/17/2016,10/18/2016,10/19/2016,10/20/2016,10/21/2016,10/24/2016,10/25/2016,10/26/2016,10/27/2016,10/28/2016,10/31/2016,11/1/2016,11/2/2016,11/3/2016,11/4/2016,11/7/2016,11/8/2016,11/9/2016,11/10/2016,11/11/2016,11/14/2016,11/15/2016,11/16/2016,11/17/2016,11/18/2016,11/21/2016,11/22/2016,11/23/2016,11/24/2016,11/25/2016,11/28/2016,11/29/2016,11/30/2016,12/1/2016,12/2/2016,12/5/2016,12/6/2016,12/7/2016,12/8/2016,12/9/2016,12/12/2016,12/13/2016,12/14/2016,12/15/2016,12/16/2016,12/19/2016,12/20/2016,12/21/2016,12/22/2016,12/23/2016,12/26/2016,12/27/2016,12/28/2016,12/29/2016,12/30/2016,1/2/2017,1/3/2017,1/4/2017,1/5/2017,1/6/2017,1/9/2017,1/10/2017,1/11/2017,1/12/2017,1/13/2017,1/16/2017,1/17/2017,1/18/2017,1/19/2017,1/20/2017,1/23/2017,1/24/2017,1/25/2017,1/26/2017,1/27/2017,1/30/2017,1/31/2017,2/1/2017,2/2/2017,2/3/2017,2/6/2017,2/7/2017,2/8/2017,2/9/2017,2/10/2017,2/13/2017,2/14/2017,2/15/2017,2/16/2017,2/17/2017,2/20/2017,2/21/2017,2/22/2017,2/23/2017,2/24/2017,2/27/2017,2/28/2017,3/1/2017,3/2/2017,3/3/2017,3/6/2017,3/7/2017,3/8/2017,3/9/2017,3/10/2017,3/13/2017,3/14/2017,3/15/2017,3/16/2017,3/17/2017,3/20/2017,3/21/2017,3/22/2017,3/23/2017,3/24/2017,3/27/2017,3/28/2017,3/29/2017,3/30/2017,3/31/2017,4/3/2017,4/4/2017,4/5/2017,4/6/2017,4/7/2017,4/10/2017,4/11/2017,4/12/2017,4/13/2017,4/14/2017,4/17/2017,4/18/2017,4/19/2017,4/20/2017,4/21/2017,4/24/2017,4/25/2017,4/26/2017,4/27/2017,4/28/2017,5/1/2017,5/2/2017,5/3/2017,5/4/2017,5/5/2017,5/8/2017,5/9/2017,5/10/2017,5/11/2017,5/12/2017,5/15/2017,5/16/2017,5/17/2017,5/18/2017,5/19/2017,5/22/2017,5/23/2017,5/24/2017,5/25/2017,5/26/2017,5/29/2017,5/30/2017,5/31/2017,6/1/2017,6/2/2017,6/5/2017,6/6/2017,6/7/2017,6/8/2017,6/9/2017,6/12/2017,6/13/2017,6/14/2017,6/15/2017,6/16/2017,6/19/2017,6/20/2017,6/21/2017,6/22/2017,6/23/2017,6/26/2017,6/27/2017,6/28/2017,6/29/2017,6/30/2017,7/3/2017,7/4/2017,7/5/2017,7/6/2017,7/7/2017,7/10/2017,7/11/2017,7/12/2017,7/13/2017,7/14/2017,7/17/2017,7/18/2017,7/19/2017,7/20/2017,7/21/2017,7/24/2017,7/25/2017,7/26/2017,7/27/2017,7/28/2017,7/31/2017,8/1/2017,8/2/2017,8/3/2017,8/4/2017,8/7/2017,8/8/2017,8/9/2017,8/10/2017,8/11/2017,8/14/2017,8/15/2017,8/16/2017,8/17/2017,8/18/2017,8/21/2017,8/22/2017,8/23/2017,8/24/2017,8/25/2017,8/28/2017,8/29/2017,8/30/2017,8/31/2017,9/1/2017,9/4/2017,9/5/2017,9/6/2017,9/7/2017,9/8/2017,9/11/2017,9/12/2017,9/13/2017,9/14/2017,9/15/2017,9/18/2017,9/19/2017,9/20/2017,9/21/2017,9/22/2017,9/25/2017,9/26/2017,9/27/2017,9/28/2017,9/29/2017,10/2/2017,10/3/2017,10/4/2017,10/5/2017,10/6/2017,10/9/2017,10/10/2017,10/11/2017,10/12/2017,10/13/2017,10/16/2017,10/17/2017,10/18/2017,10/19/2017,10/20/2017,10/23/2017,10/24/2017,10/25/2017,10/26/2017,10/27/2017,10/30/2017,10/31/2017,11/1/2017,11/2/2017,11/3/2017,11/6/2017,11/7/2017,11/8/2017,11/9/2017,11/10/2017,11/13/2017,11/14/2017,11/15/2017,11/16/2017,11/17/2017,11/20/2017,11/21/2017,11/22/2017,11/23/2017,11/24/2017,11/27/2017,11/28/2017,11/29/2017,11/30/2017,12/1/2017,12/4/2017,12/5/2017,12/6/2017,12/7/2017,12/8/2017,12/11/2017,12/12/2017,12/13/2017,12/14/2017,12/15/2017,12/18/2017,12/19/2017,12/20/2017,12/21/2017,12/22/2017,12/25/2017,12/26/2017,12/27/2017,12/28/2017,12/29/2017,1/1/2018,1/2/2018,1/3/2018,1/4/2018,1/5/2018,1/8/2018,1/9/2018,1/10/2018,1/11/2018,1/12/2018,1/15/2018,1/16/2018,1/17/2018,1/18/2018,1/19/2018,1/22/2018,1/23/2018,1/24/2018,1/25/2018,1/26/2018,1/29/2018,1/30/2018,1/31/2018,2/1/2018,2/2/2018,2/5/2018,2/6/2018,2/7/2018,2/8/2018,2/9/2018,2/12/2018,2/13/2018,2/14/2018,2/15/2018,2/16/2018,2/19/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/26/2018,2/27/2018,2/28/2018,3/1/2018,3/2/2018,3/5/2018,3/6/2018,3/7/2018,3/8/2018,3/9/2018,3/12/2018,3/13/2018,3/14/2018,3/15/2018,3/16/2018,3/19/2018,3/20/2018,3/21/2018,3/22/2018,3/23/2018,3/26/2018,3/27/2018,3/28/2018,3/29/2018,3/30/2018,4/2/2018,4/3/2018,4/4/2018,4/5/2018,4/6/2018,4/9/2018,4/10/2018,4/11/2018,4/12/2018,4/13/2018,4/16/2018,4/17/2018,4/18/2018,4/19/2018,4/20/2018,4/23/2018,4/24/2018,4/25/2018,4/26/2018,4/27/2018,4/30/2018,5/1/2018,5/2/2018,5/3/2018,5/4/2018,5/7/2018,5/8/2018,5/9/2018,5/10/2018,5/11/2018,5/14/2018,5/15/2018,5/16/2018,5/17/2018,5/18/2018,5/21/2018,5/22/2018,5/23/2018,5/24/2018,5/25/2018,5/28/2018,5/29/2018,5/30/2018,5/31/2018,6/1/2018,6/4/2018}
@attribute Close numeric
@attribute High numeric
@attribute Low numeric
@attribute Open numeric
@attribute Volume numeric

@data
1/1/2016,105.26,105.26,105.26,105.26,0
1/4/2016,105.35,105.368,102,102.61,67649387
1/5/2016,102.71,105.85,102.41,105.75,55790992
1/6/2016,100.7,102.37,99.87,100.56,68457388
1/7/2016,96.45,100.13,96.43,98.68,81094428
1/8/2016,96.96,99.11,96.76,98.55,70798016
1/11/2016,98.53,99.06,97.34,98.97,49739377
1/12/2016,99.96,100.69,98.8399,100.55,49154227
1/13/2016,97.39,101.19,97.3,100.32,62439631
1/14/2016,99.52,100.48,95.74,97.96,63170127
1/15/2016,97.13,97.71,95.36,96.2,79833891
1/18/2016,97.13,97.13,97.13,97.13,0
1/19/2016,96.66,98.65,95.5,98.41,53087747
1/20/2016,96.79,98.1897,93.42,95.1,72334416
1/21/2016,96.3,97.88,94.94,97.06,52161463
1/22/2016,101.42,101.46,98.37,98.63,65800467
1/25/2016,99.44,101.53,99.21,101.52,51794525
1/26/2016,99.99,100.88,98.07,99.93,75077002
1/27/2016,93.42,96.6289,93.34,96.04,133369674
1/28/2016,94.09,94.52,92.39,93.79,55678825
1/29/2016,97.34,97.34,94.35,94.79,64416504
2/1/2016,96.43,96.71,95.4,96.47,40943541
2/2/2016,94.48,96.04,94.28,95.42,37357215
2/3/2016,96.35,96.84,94.08,95,45964294
2/4/2016,96.6,97.33,95.19,95.86,46471652
2/5/2016,94.02,96.92,93.69,96.52,46418064
2/8/2016,95.01,95.7,93.04,93.13,54021375
2/9/2016,94.99,95.94,93.93,94.29,44331195
2/10/2016,94.27,96.35,94.1,95.92,42343601
2/11/2016,93.7,94.72,92.59,93.79,50074711
2/12/2016,93.99,94.5,93.01,94.19,40351381
2/15/2016,93.99,93.99,93.99,93.99,0
2/16/2016,96.64,96.85,94.61,95.02,49057916
2/17/2016,98.12,98.21,96.15,96.67,44863243
2/18/2016,96.26,98.89,96.091,98.84,39020983
2/19/2016,96.04,96.7599,95.8,96,35374173
2/22/2016,96.88,96.9,95.92,96.31,34280758
2/23/2016,94.69,96.5,94.55,96.4,31942633
2/24/2016,96.1,96.38,93.32,93.98,36255745
2/25/2016,96.76,96.76,95.25,96.05,27582659
2/26/2016,96.91,98.0237,96.58,97.2,28991131
2/29/2016,96.69,98.23,96.65,96.86,35216277
3/1/2016,100.53,100.77,97.42,97.65,50407147
3/2/2016,100.75,100.89,99.64,100.51,33169559
3/3/2016,101.5,101.7099,100.45,100.58,36955742
3/4/2016,103.01,103.75,101.37,102.37,46055100
3/7/2016,101.87,102.83,100.96,102.39,35915810
3/8/2016,101.03,101.76,100.4,100.78,31561889
3/9/2016,101.12,101.58,100.27,101.31,27201683
3/10/2016,101.17,102.24,100.15,101.41,33513576
3/11/2016,102.26,102.28,101.5,102.24,27408237
3/14/2016,102.52,102.91,101.78,101.91,25076062
3/15/2016,104.58,105.18,103.85,103.96,40067734
3/16/2016,105.97,106.31,104.59,104.61,38303493
3/17/2016,105.8,106.47,104.96,105.52,34420705
3/18/2016,105.92,106.5,105.19,106.34,44205171
3/21/2016,105.91,107.65,105.1401,105.93,35502678
3/22/2016,106.72,107.29,105.21,105.25,32444375
3/23/2016,106.13,107.07,105.9,106.48,25703495
3/24/2016,105.67,106.25,104.89,105.47,26132955
3/25/2016,105.67,105.67,105.67,105.67,0
3/28/2016,105.19,106.19,105.06,106,19411372
3/29/2016,107.68,107.79,104.88,104.89,31190083
3/30/2016,109.56,110.42,108.6,108.65,45601149
3/31/2016,108.99,109.9,108.88,109.72,25888449
4/1/2016,109.99,110,108.2,108.78,25873950
4/4/2016,111.12,112.19,110.27,110.42,37356204
4/5/2016,109.81,110.73,109.42,109.51,26578652
4/6/2016,110.96,110.98,109.2,110.23,26404077
4/7/2016,108.54,110.42,108.121,109.95,31801870
4/8/2016,108.66,109.77,108.17,108.91,23581740
4/11/2016,109.02,110.61,108.83,108.97,29407518
4/12/2016,110.44,110.5,108.66,109.34,27232325
4/13/2016,112.04,112.34,110.8,110.8,33257316
4/14/2016,112.1,112.39,111.33,111.62,25473923
4/15/2016,109.85,112.3,109.73,112.11,46938969
4/18/2016,107.48,108.95,106.94,108.89,60821461
4/19/2016,106.91,108,106.23,107.88,32384878
4/20/2016,107.13,108.09,106.06,106.64,30611030
4/21/2016,105.97,106.93,105.52,106.93,31552525
4/22/2016,105.68,106.48,104.62,105.01,33683121
4/25/2016,105.08,105.65,104.51,105,28031588
4/26/2016,104.35,105.3,103.91,103.91,56016165
4/27/2016,97.82,98.71,95.68,96,114602142
4/28/2016,94.83,97.88,94.25,97.61,82242690
4/29/2016,93.74,94.72,92.51,93.99,68531478
5/2/2016,93.64,94.08,92.4,93.965,48160104
5/3/2016,95.18,95.74,93.68,94.2,56831277
5/4/2016,94.19,95.9,93.82,95.2,41025475
5/5/2016,93.24,94.07,92.68,94,35890500
5/6/2016,92.72,93.45,91.85,93.37,43699886
5/9/2016,92.79,93.77,92.59,93,32936436
5/10/2016,93.42,93.57,92.11,93.33,33686836
5/11/2016,92.51,93.57,92.46,93.48,28719109
5/12/2016,90.34,92.78,89.47,92.72,76314690
5/13/2016,90.52,91.67,90,90,44392765
5/16/2016,93.88,94.39,91.65,92.39,61259756
5/17/2016,93.49,94.7,93.01,94.55,46916939
5/18/2016,94.56,95.21,93.89,94.16,42062391
5/19/2016,94.2,94.64,93.57,94.64,30442100
5/20/2016,95.22,95.43,94.52,94.64,32025968
5/23/2016,96.43,97.19,95.67,95.87,38018643
5/24/2016,97.9,98.09,96.84,97.22,35140174
5/25/2016,99.62,99.74,98.11,98.67,38642108
5/26/2016,100.41,100.73,98.64,99.68,56331159
5/27/2016,100.35,100.47,99.245,99.44,36341240
5/30/2016,100.35,100.35,100.35,100.35,0
5/31/2016,99.86,100.4,98.82,99.6,42307212
6/1/2016,98.46,99.54,98.33,99.02,29173285
6/2/2016,97.72,97.84,96.63,97.6,40191600
6/3/2016,97.92,98.27,97.45,97.79,28504888
6/6/2016,98.63,101.89,97.55,97.99,23292504
6/7/2016,99.03,99.87,98.96,99.25,22409450
6/8/2016,98.94,99.56,98.68,99.02,20848131
6/9/2016,99.65,99.99,98.46,98.5,26601354
6/10/2016,98.83,99.3457,98.48,98.53,31712936
6/13/2016,97.34,99.12,97.1,98.69,38020494
6/14/2016,97.46,98.475,96.75,97.32,31931944
6/15/2016,97.14,98.41,97.03,97.82,29445227
6/16/2016,97.55,97.75,96.07,96.45,31326815
6/17/2016,95.33,96.65,95.3,96.62,61008219
6/20/2016,95.1,96.57,95.03,96,34411901
6/21/2016,95.91,96.35,94.676,94.94,35546358
6/22/2016,95.55,96.89,95.35,96.25,29219122
6/23/2016,96.1,96.29,95.25,95.94,32240187
6/24/2016,93.4,94.655,92.65,92.91,75311356
6/27/2016,92.04,93.05,91.5,93,46622188
6/28/2016,93.59,93.66,92.14,92.9,40444914
6/29/2016,94.4,94.55,93.63,93.97,36531006
6/30/2016,95.6,95.77,94.3,94.44,35836356
7/1/2016,95.89,96.465,95.33,95.49,26026540
7/4/2016,95.89,95.89,95.89,95.89,0
7/5/2016,94.99,95.4,94.46,95.39,27705210
7/6/2016,95.53,95.66,94.37,94.6,30949090
7/7/2016,95.94,96.5,95.62,95.7,25139558
7/8/2016,96.68,96.89,96.05,96.49,28912103
7/11/2016,96.98,97.65,96.73,96.75,23794945
7/12/2016,97.42,97.7,97.12,97.17,24167463
7/13/2016,96.87,97.67,96.84,97.41,25892171
7/14/2016,98.79,98.99,97.32,97.39,38918997
7/15/2016,98.78,99.3,98.5,98.92,30136990
7/18/2016,99.83,100.13,98.6,98.7,36493867
7/19/2016,99.87,100,99.34,99.56,23779924
7/20/2016,99.96,100.46,99.735,100,26275968
7/21/2016,99.43,101,99.13,99.83,32702028
7/22/2016,98.66,99.3,98.31,99.26,28313669
7/25/2016,97.34,98.84,96.92,98.25,40382921
7/26/2016,96.67,97.97,96.42,96.82,56239822
7/27/2016,102.95,104.35,102.75,104.265,92344820
7/28/2016,104.34,104.45,102.82,102.83,39869839
7/29/2016,104.21,104.55,103.68,104.19,27733688
8/1/2016,106.05,106.15,104.41,104.41,38167871
8/2/2016,104.48,106.07,104,106.05,33816556
8/3/2016,105.79,105.84,104.77,104.81,30202641
8/4/2016,105.87,106,105.28,105.58,27408650
8/5/2016,107.48,107.65,106.18,106.27,40553402
8/8/2016,108.37,108.37,107.16,107.52,28037220
8/9/2016,108.81,108.94,108.01,108.23,26315204
8/10/2016,108,108.9,107.76,108.71,24008505
8/11/2016,107.93,108.93,107.85,108.52,27484506
8/12/2016,108.18,108.44,107.78,107.78,18660434
8/15/2016,109.48,109.54,108.08,108.14,25868209
8/16/2016,109.38,110.23,109.21,109.63,33794448
8/17/2016,109.22,109.37,108.34,109.1,25355976
8/18/2016,109.08,109.6,109.02,109.23,21984703
8/19/2016,109.36,109.69,108.36,108.77,25368072
8/22/2016,108.51,109.1,107.85,108.86,25820230
8/23/2016,108.85,109.32,108.53,108.59,21257669
