Date,APPL,GOOG,MSFT
1/1/2016,105.26,758.88,55.48
1/4/2016,105.35,741.84,54.8
1/5/2016,102.71,742.58,55.05
1/6/2016,100.7,743.62,54.05
1/7/2016,96.45,726.39,52.17
1/8/2016,96.96,714.47,52.33
1/11/2016,98.53,716.03,52.3
1/12/2016,99.96,726.07,52.78
1/13/2016,97.39,700.56,51.64
1/14/2016,99.52,714.72,53.11
1/15/2016,97.13,694.45,50.99
1/18/2016,97.13,694.45,50.99
1/19/2016,96.66,701.79,50.56
1/20/2016,96.79,698.45,50.79
1/21/2016,96.3,706.59,50.48
1/22/2016,101.42,725.25,52.29
1/25/2016,99.44,711.67,51.79
1/26/2016,99.99,713.04,52.17
1/27/2016,93.42,699.99,51.22
1/28/2016,94.09,730.96,52.055
1/29/2016,97.34,742.95,55.09
2/1/2016,96.43,752,54.71
2/2/2016,94.48,764.65,53
2/3/2016,96.35,726.95,52.16
2/4/2016,96.6,708.01,52
2/5/2016,94.02,683.57,50.16
2/8/2016,95.01,682.74,49.41
2/9/2016,94.99,678.11,49.28
2/10/2016,94.27,684.12,49.71
2/11/2016,93.7,683.11,49.69
2/12/2016,93.99,682.4,50.5
2/15/2016,93.99,682.4,50.5
2/16/2016,96.64,691,51.09
2/17/2016,98.12,708.4,52.42
2/18/2016,96.26,697.35,52.19
2/19/2016,96.04,700.91,51.82
2/22/2016,96.88,706.46,52.65
2/23/2016,94.69,695.85,51.18
2/24/2016,96.1,699.56,51.36
2/25/2016,96.76,705.75,52.1
2/26/2016,96.91,705.07,51.3
2/29/2016,96.69,697.77,50.88
3/1/2016,100.53,718.81,52.58
3/2/2016,100.75,718.85,52.95
3/3/2016,101.5,712.42,52.35
3/4/2016,103.01,710.89,52.03
3/7/2016,101.87,695.16,51.03
3/8/2016,101.03,693.97,51.65
3/9/2016,101.12,705.24,52.84
3/10/2016,101.17,712.82,52.05
3/11/2016,102.26,726.82,53.07
3/14/2016,102.52,730.49,53.17
3/15/2016,104.58,728.33,53.59
3/16/2016,105.97,736.09,54.35
3/17/2016,105.8,737.78,54.66
3/18/2016,105.92,737.6,53.49
3/21/2016,105.91,742.09,53.86
